college,price
Aviator College of Aeronautical Science and Technology,70675.00
American University of Health Sciences,64465.00
Pacific College of Oriental Medicine-New York,49670.00
School of the Art Institute of Chicago,42882.00
New York Conservatory for Dramatic Arts,41048.00
Southwest University of Visual Arts-Albuquerque,40904.00
Southwest University of Visual Arts-Tucson,40332.00
New York Methodist Hospital Center for Allied Health Education,40291.00
Ringling College of Art and Design,40222.00
Landmark College,40159.00
The Boston Conservatory,39602.00
New England School of Photography,39393.00
Berklee College of Music,38814.00
California Institute of the Arts,38802.00
School of Visual Arts,37884.00
The New School,37779.00
Art Center College of Design,37579.00
San Francisco Art Institute,37527.00
Tri-State Institute,37223.00
New York University,36834.00
Argosy University-Phoenix Online Division,36407.00
Florida Career College-Miami,36058.00
Beacon College,36032.00
Sacred Heart University,36024.00
School of the Museum of Fine Arts-Boston,35930.00
LIM College,35867.00
The Art Institute of Charleston,35524.00
Florida Career College-Clearwater,35025.00
Pacific College of Oriental Medicine-Chicago,34876.00
Rhode Island School of Design,34863.00
Saint Joseph's University,34856.00
Platt College-San Diego,34819.00
Pratt Institute-Main,34813.00
Cleveland Institute of Music,34807.00
Oberlin College,34797.00
The Creative Center,34730.00
Catholic University of America,34724.00
Drexel University,34660.00
Embry-Riddle Aeronautical University-Daytona Beach,34538.00
Worcester Polytechnic Institute,34338.00
Rose-Hulman Institute of Technology,34153.00
St Paul's School of Nursing-Queens,34060.00
Santa Clara University,33890.00
Maryland Institute College of Art,33857.00
Embry-Riddle Aeronautical University-Prescott,33720.00
Fordham University,33679.00
Cornish College of the Arts,33607.00
The Art Institute of Philadelphia,33571.00
Lynn University,33521.00
Roger Williams University,33506.00
Otis College of Art and Design,33443.00
Savannah College of Art and Design,33364.00
FIDM/Fashion Institute of Design & Merchandising-San Francisco,33304.00
Simmons College,33300.00
Rensselaer Polytechnic Institute,33257.00
Culinary Institute of America,33224.00
Daymar College-Madisonville,33161.00
Daymar College-Owensboro,33121.00
Institute of Production and Recording,33105.00
The New England Institute of Art,33104.00
Washington University in St Louis,32870.00
Northeastern University,32819.00
Newschool of Architecture and Design,32799.00
Daymar College-Online,32780.00
Muhlenberg College,32692.00
West Coast University-Ontario,32679.00
Loyola Marymount University,32654.00
The New England Conservatory of Music,32480.00
South University-The Art Institute of Fort Worth,32451.00
California College of the Arts,32443.00
Saint Louis University-Main Campus,32430.00
University of San Diego,32369.00
Musicians Institute,32311.00
American Musical and Dramatic Academy,32284.00
University of the Sciences,32206.00
Quinnipiac University,32158.00
Carnegie Mellon University,32054.00
Stonehill College,31893.00
Ithaca College,31811.00
Neumont University,31725.00
Hobart William Smith Colleges,31546.00
FIDM/Fashion Institute of Design & Merchandising-Los Angeles,31518.00
Kendall College,31494.00
The University of the Arts,31482.00
The Art Institute of Tennessee-Nashville,31478.00
American University,31447.00
Los Angeles Music Academy,31419.00
Lawrence Memorial Hospital School of Nursing,31410.00
School of Advertising Art Inc,31365.00
Dominican University of California,31343.00
Stevens-Henager College-Ogden,31314.00
Full Sail University,31276.00
University of Denver,31244.00
Wake Forest University,31185.00
Cleveland Institute of Art,31174.00
Mt Sierra College,31173.00
Providence College,31165.00
Daymar College-Louisville,31102.00
Marist College,31073.00
The Art Institute of Washington,31012.00
University of Puget Sound,30964.00
Moore College of Art and Design,30842.00
West Coast University-Los Angeles,30801.00
Kenyon College,30779.00
Everest College-Arlington,30761.00
Bryant University,30728.00
Strayer University-Maryland,30676.00
Bennington College,30497.00
Champlain College,30496.00
Westmont College,30495.00
St Louis College of Health Careers-Fenton,30479.00
University of Rochester,30458.00
Platt College-Los Angeles,30397.00
The Art Institute of Colorado,30397.00
Chapman University,30337.00
The Art Institutes International_Kansas City,30313.00
McNally Smith College of Music,30214.00
Harvey Mudd College,30171.00
College for Creative Studies,30170.00
The Art Institute of Pittsburgh,30120.00
Portfolio Center,30115.00
Landing School of Boat Building and Design,30113.00
Cleveland Chiropractic College,30106.00
The Illinois Institute of Art-Chicago,30084.00
Strayer University-New Jersey,30069.00
The College of New Rochelle,30039.00
Strayer University-Virginia,30002.00
Marymount Manhattan College,29928.00
University of Chicago,29924.00
Antioch University-Seattle,29901.00
Boston University,29899.00
South University-Tampa,29863.00
Hampshire College,29770.00
San Francisco Conservatory of Music,29765.00
South University_Virginia Beach,29741.00
Dover Business College,29738.00
ATS Institute of Technology,29737.00
The Art Institute of Atlanta,29722.00
The Art Institute of Ohio-Cincinnati,29691.00
Strayer University-Mississippi,29689.00
Lesley University,29614.00
Strayer University-Kentucky,29603.00
Alaska Pacific University,29592.00
Hofstra University,29575.00
Marlboro College,29564.00
Marian Health Careers Center-Van Nuys Campus,29561.00
The Art Institutes International-Minnesota,29538.00
Kaplan University-Cedar Falls Campus,29520.00
The Collective School Of Music,29516.00
High Point University,29513.00
Strayer University-Delaware,29510.00
University of Scranton,29475.00
Rocky Mountain College of Art and Design,29469.00
South University-The Art Institute of Dallas,29430.00
Endicott College,29417.00
The Art Institute of Austin,29413.00
Strayer University-District of Columbia,29406.00
South University_Savannah Online,29394.00
The Art Institute of Salt Lake City,29374.00
John Paul the Great Catholic University,29356.00
The Art Institute of Indianapolis,29308.00
Whitman College,29293.00
Marquette University,29280.00
Strayer University-Global Region,29273.00
Kettering University,29255.00
FIDM/Fashion Institute of Design & Merchandising-Orange County,29254.00
Platt College-Ontario,29250.00
Wesley College,29245.00
Manhattan School of Music,29195.00
Kaplan University-Hagerstown Campus,29174.00
American Jewish University,29145.00
The Art Institute of Raleigh-Durham,29143.00
Southern Methodist University,29140.00
The Restaurant School at Walnut Hill College,29120.00
Butler University,29032.00
Art Institute of Wisconsin (The),29031.00
Everest University-Largo,28990.00
Curry College,28988.00
Circle in the Square Theater School,28979.00
Loyola University-Chicago,28976.00
University of San Francisco,28946.00
Florida Institute of Technology,28938.00
Eckerd College,28931.00
Rider University,28914.00
City University of Seattle,28905.00
Franklin W. Olin College of Engineering,28880.00
Morrison University,28863.00
Tulane University of Louisiana,28855.00
Salve Regina University,28852.00
Villanova University,28835.00
South University-Novi,28832.00
Massachusetts College of Pharmacy and Health Sciences,28824.00
Carleton College,28818.00
University of New England,28768.00
Strayer University-North Carolina,28757.00
Menlo College,28718.00
The Art Institute of Las Vegas,28642.00
Minneapolis College of Art and Design,28630.00
Academy of Art University,28625.00
DeVry University-Oregon,28625.00
St Louis College of Pharmacy,28622.00
Saint Marys College of California,28616.00
Emerson College,28567.00
The Art Institute of New York City,28512.00
Wentworth Institute of Technology,28507.00
Brooks Institute,28502.00
Seattle University,28498.00
Strayer University-Alabama,28494.00
South University_Richmond,28475.00
Harrington College of Design,28463.00
Bucknell University,28431.00
University of Portland,28407.00
Springfield College,28399.00
Stevens Institute of Technology,28387.00
California Culinary Academy,28385.00
The Art Institute of Portland,28364.00
Drew University,28361.00
Strayer University-South Carolina,28326.00
Strayer University-Florida,28310.00
Strayer University-Georgia,28245.00
Bentley University,28238.00
The Art Institute of Michigan,28234.00
Le Cordon Bleu Institute of Culinary Arts-Pittsburgh,28226.00
Elon University,28208.00
Goucher College,28152.00
Biola University,28118.00
Loyola University Maryland,28118.00
Strayer University-Pennsylvania,28115.00
Texas Christian University,28097.00
Saint Anselm College,28087.00
The Art Institute of Washington-Northern Virginia,28082.00
The Art Institute of Fort Lauderdale,28081.00
American Academy of Dramatic Arts-New York,28068.00
Albany College of Pharmacy and Health Sciences,28023.00
DigiPen Institute of Technology,28008.00
Syracuse University,27994.00
Washington College,27977.00
Pacific College of Oriental Medicine LLC-San Diego,27950.00
Columbia College-Chicago,27934.00
Fairfield University,27930.00
University of New Haven,27926.00
Corcoran College of Art and Design,27925.00
Dickinson College,27871.00
Occidental College,27846.00
George Washington University,27793.00
Hebrew Theological College,27792.00
